product_id,product_name,category,subcategory,location_type,base_price,size,dietary_tags,allergens,calories,description
STB-001,Brewed Coffee,Hot Beverage,Coffee,Starbucks,2.95,Tall,Vegan,,5,Freshly brewed Pike Place Roast
STB-002,Brewed Coffee,Hot Beverage,Coffee,Starbucks,3.45,Grande,Vegan,,5,Freshly brewed Pike Place Roast
STB-003,Brewed Coffee,Hot Beverage,Coffee,Starbucks,3.95,Venti,Vegan,,10,Freshly brewed Pike Place Roast
STB-004,Caffe Latte,Hot Beverage,Espresso,Starbucks,4.95,Grande,Vegetarian,Dairy,190,Espresso with steamed milk
STB-005,Caramel Macchiato,Hot Beverage,Espresso,Starbucks,5.65,Grande,Vegetarian,Dairy,250,Vanilla-flavored espresso marked with caramel
STB-006,Vanilla Latte,Hot Beverage,Espresso,Starbucks,5.25,Grande,Vegetarian,Dairy,250,Espresso with vanilla and steamed milk
STB-007,Cappuccino,Hot Beverage,Espresso,Starbucks,4.65,Grande,Vegetarian,Dairy,140,Espresso with foamed milk
STB-008,Flat White,Hot Beverage,Espresso,Starbucks,5.25,Grande,Vegetarian,Dairy,220,Ristretto shots with steamed whole milk
STB-009,Americano,Hot Beverage,Espresso,Starbucks,3.65,Grande,Vegan,,15,Espresso shots with hot water
STB-010,Mocha,Hot Beverage,Espresso,Starbucks,5.45,Grande,Vegetarian,Dairy,360,Espresso with mocha sauce and steamed milk
STB-011,White Chocolate Mocha,Hot Beverage,Espresso,Starbucks,5.75,Grande,Vegetarian,Dairy,430,Espresso with white chocolate and steamed milk
STB-012,Pumpkin Spice Latte,Hot Beverage,Seasonal,Starbucks,5.95,Grande,Vegetarian,Dairy,380,Fall seasonal favorite with pumpkin and spice
STB-013,Chai Tea Latte,Hot Beverage,Tea,Starbucks,5.25,Grande,Vegetarian,Dairy,240,Black tea with warm spices and steamed milk
STB-014,Matcha Green Tea Latte,Hot Beverage,Tea,Starbucks,5.45,Grande,Vegan Option,Dairy (can sub),240,Matcha powder with steamed milk
STB-015,Hot Chocolate,Hot Beverage,Other,Starbucks,4.25,Grande,Vegetarian,Dairy,370,Steamed milk with mocha sauce
STB-016,Iced Coffee,Cold Beverage,Coffee,Starbucks,3.65,Grande,Vegan,,5,Freshly brewed and chilled
STB-017,Cold Brew,Cold Beverage,Coffee,Starbucks,4.45,Grande,Vegan,,5,Slow-steeped for 20 hours
STB-018,Vanilla Sweet Cream Cold Brew,Cold Beverage,Coffee,Starbucks,5.25,Grande,Vegetarian,Dairy,110,Cold brew with vanilla sweet cream
STB-019,Nitro Cold Brew,Cold Beverage,Coffee,Starbucks,5.25,Grande,Vegan,,5,Nitrogen-infused cold brew
STB-020,Iced Caramel Macchiato,Cold Beverage,Espresso,Starbucks,5.75,Grande,Vegetarian,Dairy,250,Iced espresso with vanilla and caramel
STB-021,Iced Vanilla Latte,Cold Beverage,Espresso,Starbucks,5.25,Grande,Vegetarian,Dairy,190,Iced espresso with vanilla
STB-022,Iced Americano,Cold Beverage,Espresso,Starbucks,3.95,Grande,Vegan,,15,Espresso shots with cold water and ice
STB-023,Iced Mocha,Cold Beverage,Espresso,Starbucks,5.75,Grande,Vegetarian,Dairy,350,Iced espresso with mocha sauce
STB-024,Iced Shaken Espresso,Cold Beverage,Espresso,Starbucks,5.45,Grande,Vegan Option,Dairy (can sub),100,Shaken espresso with ice
STB-025,Brown Sugar Oatmilk Shaken Espresso,Cold Beverage,Espresso,Starbucks,6.25,Grande,Vegan,Oat milk,120,Espresso with brown sugar and oat milk
STB-026,Refreshers - Strawberry Acai,Cold Beverage,Refresher,Starbucks,5.25,Grande,Vegan,,90,Fruit juice with green coffee extract
STB-027,Refreshers - Mango Dragonfruit,Cold Beverage,Refresher,Starbucks,5.25,Grande,Vegan,,90,Tropical fruit refresher
STB-028,Refreshers - Very Berry Hibiscus,Cold Beverage,Refresher,Starbucks,5.25,Grande,Vegan,,60,Berry hibiscus refresher
STB-029,Frappuccino - Caramel,Cold Beverage,Frappuccino,Starbucks,5.95,Grande,Vegetarian,Dairy,420,Blended caramel coffee drink
STB-030,Frappuccino - Mocha,Cold Beverage,Frappuccino,Starbucks,5.95,Grande,Vegetarian,Dairy,410,Blended mocha coffee drink
STB-031,Frappuccino - Vanilla Bean,Cold Beverage,Frappuccino,Starbucks,5.45,Grande,Vegetarian,Dairy,400,Blended creme frappuccino
STB-032,Frappuccino - Strawberry,Cold Beverage,Frappuccino,Starbucks,5.45,Grande,Vegetarian,Dairy,370,Blended strawberry creme
